user_id,activity_level,home_type,grooming_preference,time_available,experience_level,preferred_dog_size
667,Low,Large Apartment,Very Low,Full-time,Experienced,Medium
668,Low,Large Apartment,Low,Limited,Experienced,Medium
669,Low,House,High,Part-time,First-time owner,Large
670,Very Low,Small Apartment,Very High,Part-time,Experienced,Small
671,Moderate,House,High,Part-time,Expert,Medium
672,Low,Small Apartment,High,Limited,First-time owner,Small
673,Low,Large Apartment,Very High,Limited,First-time owner,Medium
674,Very Low,House,Very High,Limited,First-time owner,Medium
675,Very High,Large Apartment,Very High,Full-time,Experienced,Small
676,Very Low,Small Apartment,High,Minimal,Expert,Small
677,High,Small Apartment,High,Full-time,First-time owner,Small
678,Low,Rural,Very Low,Minimal,Experienced,Large
679,Very Low,Small Apartment,Medium,Part-time,Expert,Small
680,Low,Small Apartment,Low,Full-time,Experienced,Small
681,Low,House,Very High,Limited,First-time owner,Medium
682,Very Low,House,Low,Limited,Experienced,Large
683,Very Low,Small Apartment,Low,Minimal,First-time owner,Small
684,Moderate,Rural,Low,Limited,Experienced,Medium
685,Low,Large Apartment,Very Low,Limited,Experienced,Small
686,Very Low,House,Very High,Limited,Expert,Medium
687,Very Low,Rural,Very High,Full-time,First-time owner,Large
688,Moderate,House,High,Limited,Expert,Medium
689,Low,House,Very Low,Limited,Expert,Medium
690,Low,Large Apartment,Medium,Minimal,First-time owner,Small
691,High,Small Apartment,Very Low,Part-time,First-time owner,Small
692,Moderate,Small Apartment,Very High,Part-time,Expert,Small
693,Very Low,House,High,Limited,Experienced,Small
694,Low,Rural,Very Low,Minimal,Expert,Large
695,Very Low,Large Apartment,Very High,Limited,Experienced,Small
696,Very Low,Small Apartment,High,Limited,First-time owner,Small
697,Moderate,Rural,Very Low,Part-time,Experienced,Large
698,Very Low,Large Apartment,Medium,Minimal,Expert,Small
699,Low,Rural,Very Low,Limited,Expert,Medium
700,Very Low,Large Apartment,Low,Full-time,Experienced,Medium
701,Very High,Large Apartment,Low,Full-time,Expert,Small
702,Very Low,Rural,Low,Part-time,Expert,Medium
703,High,House,Medium,Full-time,Experienced,Large
704,Moderate,Rural,Very High,Limited,Experienced,Medium
705,Very Low,Large Apartment,Very High,Minimal,First-time owner,Medium
706,Low,House,Very High,Limited,Expert,Large
707,Very Low,Rural,Medium,Limited,Expert,Medium
708,Low,House,High,Full-time,Expert,Large
709,Very High,Large Apartment,High,Part-time,First-time owner,Small
710,High,Small Apartment,Very High,Part-time,Expert,Small
711,Low,Rural,Low,Limited,First-time owner,Medium
712,Low,Small Apartment,Very Low,Full-time,Expert,Small
713,Very High,Rural,Low,Full-time,First-time owner,Large
714,Moderate,House,Medium,Part-time,Expert,Medium
715,Low,Rural,Very Low,Minimal,Expert,Medium
716,Very High,Large Apartment,Very High,Full-time,First-time owner,Small
717,Low,House,Medium,Minimal,Experienced,Large
718,Very Low,Large Apartment,Very Low,Limited,Experienced,Medium
719,Very Low,Small Apartment,Medium,Minimal,First-time owner,Small
720,Very Low,Rural,Medium,Full-time,Expert,Large
721,Very Low,Small Apartment,Low,Full-time,First-time owner,Small
722,Very Low,Rural,High,Minimal,Experienced,Large
723,Low,Large Apartment,Very Low,Minimal,First-time owner,Medium
724,Very High,House,High,Part-time,First-time owner,Medium
725,Low,House,Very High,Part-time,Experienced,Large
726,Very Low,House,Very Low,Limited,Expert,Medium
727,Low,Large Apartment,Medium,Minimal,Expert,Small
728,Moderate,Small Apartment,Medium,Full-time,First-time owner,Small
729,Low,Large Apartment,Low,Minimal,First-time owner,Medium
730,Low,House,Medium,Minimal,First-time owner,Small
731,Moderate,Small Apartment,Very High,Full-time,Expert,Small
732,Low,House,Medium,Minimal,Expert,Large
733,Low,Rural,Low,Limited,Expert,Large
734,Moderate,Small Apartment,Very Low,Limited,First-time owner,Small
735,High,House,Very High,Part-time,Expert,Medium
736,Moderate,Rural,Very Low,Limited,Expert,Medium
737,Low,Rural,Low,Limited,Expert,Large
738,Very Low,Small Apartment,Very High,Minimal,First-time owner,Small
739,Very High,Large Apartment,Medium,Part-time,Experienced,Small
740,Moderate,House,Low,Limited,Expert,Large
741,Low,Small Apartment,Very Low,Limited,First-time owner,Small
742,Very Low,House,Low,Full-time,Experienced,Medium
743,Very High,Rural,High,Part-time,Expert,Large
744,Low,Rural,Low,Minimal,Expert,Large
745,Very Low,Small Apartment,Low,Minimal,Experienced,Small
746,Very Low,Large Apartment,High,Part-time,Experienced,Medium
747,Very High,Rural,Very Low,Full-time,Expert,Medium
748,Moderate,Large Apartment,Medium,Part-time,First-time owner,Small
749,Low,Rural,Very Low,Limited,Experienced,Medium
750,Moderate,Large Apartment,Very High,Part-time,First-time owner,Medium
751,Low,House,Low,Minimal,First-time owner,Large
752,High,Large Apartment,High,Part-time,First-time owner,Small
753,Very Low,Large Apartment,Low,Part-time,Experienced,Medium
754,Very Low,House,Very Low,Limited,Experienced,Large
755,Low,House,High,Part-time,Expert,Medium
756,Low,Rural,High,Minimal,Expert,Medium
757,Very Low,Small Apartment,Medium,Minimal,First-time owner,Small
758,Low,Large Apartment,High,Limited,First-time owner,Small
759,Very Low,Rural,Low,Minimal,First-time owner,Medium
760,Moderate,Small Apartment,High,Part-time,Expert,Small
761,Low,Large Apartment,Very Low,Minimal,First-time owner,Medium
762,Low,Small Apartment,Low,Part-time,Experienced,Small
763,Low,Small Apartment,Medium,Part-time,Experienced,Small
764,Moderate,Large Apartment,Medium,Full-time,Expert,Small
765,Low,Small Apartment,Low,Minimal,Experienced,Small
766,Moderate,Large Apartment,Very High,Limited,Experienced,Medium
767,Very Low,Rural,Very High,Limited,Experienced,Large
768,Moderate,House,Very Low,Limited,Experienced,Medium
769,Moderate,Small Apartment,Very High,Limited,Expert,Small
770,Moderate,Large Apartment,Very High,Full-time,Experienced,Small
771,Low,Large Apartment,Very Low,Limited,Expert,Small
772,Very Low,Large Apartment,Low,Minimal,Experienced,Medium
773,Moderate,Rural,Very High,Full-time,Expert,Medium
774,Very Low,Rural,Very Low,Minimal,Expert,Medium
775,Moderate,Small Apartment,Very High,Full-time,Expert,Small
776,Very Low,Rural,Medium,Full-time,Expert,Large
777,High,Rural,Very Low,Full-time,First-time owner,Medium
778,Very High,Large Apartment,Very Low,Part-time,First-time owner,Small
779,Low,House,Medium,Limited,First-time owner,Medium
780,Very Low,Large Apartment,Very Low,Limited,First-time owner,Small
781,Moderate,House,High,Full-time,Experienced,Small
782,Low,Small Apartment,Low,Full-time,Experienced,Small
783,Moderate,Small Apartment,High,Part-time,Expert,Small
784,Very Low,Rural,Very High,Minimal,Experienced,Medium
785,Very High,Large Apartment,Medium,Full-time,Expert,Small
786,Very Low,Rural,Medium,Full-time,First-time owner,Large
787,High,Large Apartment,Medium,Full-time,Expert,Medium
788,Moderate,Large Apartment,High,Full-time,Experienced,Small
789,Very Low,Large Apartment,Medium,Limited,First-time owner,Small
790,Very Low,Small Apartment,High,Minimal,Experienced,Small
791,Moderate,Rural,Very High,Limited,Expert,Medium
792,Very Low,House,Very High,Minimal,Experienced,Small
793,Moderate,House,Medium,Part-time,Experienced,Large
794,Low,House,Very Low,Limited,Experienced,Large
795,Low,House,Low,Part-time,First-time owner,Large
796,High,House,High,Part-time,Experienced,Large
797,Moderate,Small Apartment,Low,Part-time,Expert,Small
798,Moderate,House,Very Low,Full-time,First-time owner,Small
799,Very High,Rural,Very Low,Full-time,Expert,Large
800,Moderate,House,Medium,Part-time,Expert,Small
801,High,House,Very High,Full-time,Expert,Large
802,Moderate,Large Apartment,High,Limited,Expert,Small
803,Moderate,House,Medium,Limited,First-time owner,Large
804,Very Low,Large Apartment,Low,Limited,Experienced,Small
805,Very Low,Small Apartment,Very High,Full-time,Expert,Small
806,Moderate,Large Apartment,High,Limited,Expert,Medium
807,Moderate,House,Very Low,Limited,Experienced,Small
808,Low,House,High,Limited,First-time owner,Medium
809,Low,Large Apartment,Low,Part-time,Expert,Medium
810,Low,Rural,Very High,Minimal,Experienced,Medium
811,High,Small Apartment,Low,Full-time,First-time owner,Small
812,Low,Large Apartment,High,Limited,First-time owner,Small
813,Moderate,Rural,Very High,Limited,Expert,Large
814,Moderate,Rural,High,Limited,Experienced,Large
815,Very Low,Small Apartment,Low,Full-time,Experienced,Small
816,Very Low,Small Apartment,Very High,Minimal,Expert,Small
817,Moderate,Large Apartment,Very High,Part-time,First-time owner,Small
818,Low,Rural,Medium,Limited,First-time owner,Large
819,Moderate,Small Apartment,Very Low,Full-time,Expert,Small
820,Low,Large Apartment,High,Minimal,Experienced,Small
821,Very Low,Small Apartment,Very High,Part-time,Experienced,Small
822,High,Large Apartment,Very Low,Full-time,First-time owner,Small
823,Moderate,Large Apartment,Low,Full-time,Expert,Small
824,Low,Large Apartment,Low,Part-time,Expert,Medium
825,Low,Large Apartment,Very Low,Minimal,Experienced,Medium
826,Low,House,Very Low,Minimal,Expert,Large
827,Low,Rural,Very Low,Limited,Expert,Medium
828,Low,Large Apartment,Low,Part-time,Expert,Medium
829,Very High,House,Very Low,Full-time,First-time owner,Medium
830,Moderate,Small Apartment,High,Limited,Experienced,Small
831,Very Low,Large Apartment,Low,Minimal,Expert,Medium
832,Very Low,Small Apartment,Very Low,Limited,First-time owner,Small
833,Very Low,Large Apartment,Medium,Minimal,Experienced,Small
834,Very High,Large Apartment,Very High,Part-time,Experienced,Small
835,Low,Small Apartment,Very Low,Minimal,Expert,Small
836,Very Low,House,Very High,Minimal,Expert,Large
837,Low,Large Apartment,Medium,Limited,First-time owner,Medium
838,Very Low,Rural,High,Full-time,First-time owner,Medium
839,Very High,Small Apartment,Very High,Part-time,Expert,Small
840,Low,Rural,Very Low,Minimal,First-time owner,Large
841,High,Rural,Very Low,Full-time,Expert,Large
842,Very Low,House,Very Low,Part-time,First-time owner,Small
843,Low,Small Apartment,Medium,Full-time,Expert,Small
844,Low,Large Apartment,Very High,Full-time,Experienced,Medium
845,Moderate,House,Very Low,Full-time,Expert,Medium
846,Moderate,Small Apartment,Low,Part-time,First-time owner,Small
847,Low,Small Apartment,Very High,Full-time,Expert,Small
848,High,Small Apartment,Low,Full-time,Experienced,Small
849,High,Small Apartment,Medium,Part-time,Experienced,Small
850,Low,House,Medium,Limited,First-time owner,Large
851,Very Low,Small Apartment,Very High,Part-time,Expert,Small
852,Very Low,Large Apartment,Very High,Limited,Experienced,Small
853,Low,Large Apartment,Low,Part-time,Experienced,Small
854,Very Low,Large Apartment,Low,Minimal,Experienced,Small
855,Very Low,Large Apartment,Very Low,Part-time,Expert,Medium
856,Low,Small Apartment,Very High,Minimal,Expert,Small
857,Low,Large Apartment,High,Full-time,First-time owner,Small
858,Very Low,Large Apartment,Medium,Limited,First-time owner,Medium
859,Very Low,Small Apartment,High,Limited,Experienced,Small
860,Low,Small Apartment,Very Low,Limited,First-time owner,Small
861,Moderate,House,High,Part-time,First-time owner,Small
862,Low,Large Apartment,Very Low,Minimal,Expert,Medium
863,Low,Rural,Very High,Limited,Experienced,Large
864,Very High,House,Medium,Part-time,Experienced,Large
865,Moderate,Small Apartment,Low,Limited,Experienced,Small
866,Moderate,Large Apartment,Medium,Limited,Experienced,Small
867,Moderate,Small Apartment,Low,Full-time,First-time owner,Small
868,High,Large Apartment,Very High,Part-time,Experienced,Medium
869,High,Rural,High,Full-time,Experienced,Medium
870,Very Low,House,Very High,Minimal,First-time owner,Medium
871,Low,House,Very High,Minimal,First-time owner,Medium
872,Very Low,House,Very Low,Full-time,Experienced,Large
873,Low,Large Apartment,High,Minimal,First-time owner,Small
874,Very Low,Rural,Very High,Full-time,First-time owner,Large
875,Moderate,Large Apartment,Low,Limited,Expert,Small
876,Moderate,Rural,Medium,Full-time,Experienced,Medium
877,Very High,Rural,Low,Full-time,Expert,Large
878,Moderate,Rural,Very High,Part-time,Expert,Large
879,Very Low,Rural,Low,Minimal,Experienced,Medium
880,High,Large Apartment,Very High,Full-time,Experienced,Medium
881,Low,House,Low,Limited,First-time owner,Large
882,Moderate,Large Apartment,High,Limited,Experienced,Medium
883,Low,Rural,Very Low,Minimal,First-time owner,Medium
884,Low,Rural,Very High,Minimal,First-time owner,Medium
885,Very Low,Large Apartment,Low,Minimal,Experienced,Small
886,Moderate,Large Apartment,Very High,Full-time,Experienced,Medium
887,Very Low,Large Apartment,Very Low,Limited,Expert,Medium
888,Moderate,Rural,High,Full-time,Expert,Medium
889,Very High,Large Apartment,High,Part-time,Experienced,Medium
890,Low,Rural,Low,Minimal,Experienced,Large
891,Moderate,House,Medium,Full-time,Expert,Medium
892,Low,House,High,Minimal,Expert,Small
893,High,House,Low,Part-time,Expert,Small
894,High,Small Apartment,High,Part-time,Expert,Small
895,Low,Rural,Medium,Limited,First-time owner,Medium
896,Very High,House,High,Part-time,Experienced,Small
897,Very High,Rural,Medium,Full-time,Expert,Medium
898,Very Low,Small Apartment,Medium,Part-time,First-time owner,Small
899,Very Low,House,Very High,Minimal,Experienced,Medium
900,Low,Large Apartment,Low,Minimal,Experienced,Medium
901,Low,Small Apartment,Medium,Minimal,First-time owner,Small
902,Low,Small Apartment,Very High,Part-time,First-time owner,Small
903,Very High,Rural,High,Part-time,Experienced,Large
904,High,Rural,Very High,Full-time,First-time owner,Large
905,Very High,Large Apartment,Very High,Full-time,First-time owner,Small
906,Low,Large Apartment,Medium,Minimal,Experienced,Medium
907,Very Low,Rural,High,Limited,First-time owner,Medium
908,Low,Small Apartment,Very Low,Minimal,Expert,Small
909,Low,Large Apartment,High,Minimal,Experienced,Small
910,Moderate,Large Apartment,Low,Part-time,Experienced,Small
911,Very Low,House,High,Minimal,First-time owner,Medium
912,Low,Small Apartment,High,Part-time,Experienced,Small
913,High,Large Apartment,Very High,Part-time,Expert,Medium
914,High,Rural,High,Full-time,First-time owner,Medium
915,Very High,Rural,High,Full-time,First-time owner,Large
916,High,Rural,High,Full-time,Expert,Medium
917,Very High,House,Medium,Part-time,Expert,Small
918,Low,Rural,Medium,Full-time,First-time owner,Large
919,Moderate,House,Very High,Part-time,First-time owner,Medium
920,Moderate,House,Very Low,Limited,Expert,Large
921,Moderate,Rural,Very High,Limited,Experienced,Large
922,Low,House,Low,Limited,Experienced,Large
923,Very High,Large Apartment,Medium,Full-time,Expert,Medium
924,Very High,Large Apartment,Low,Part-time,Expert,Medium
925,Moderate,Rural,Low,Limited,Experienced,Medium
926,Moderate,Rural,Low,Part-time,Expert,Large
927,Low,House,Low,Limited,Expert,Small
928,Very Low,Large Apartment,Medium,Limited,First-time owner,Small
929,Moderate,House,Very High,Full-time,Experienced,Large
930,Very Low,Small Apartment,Very High,Minimal,Experienced,Small
931,Low,Small Apartment,Very High,Minimal,Experienced,Small
932,Low,House,Very Low,Full-time,Expert,Large
933,Very Low,House,Very Low,Part-time,First-time owner,Small
934,Low,Small Apartment,Low,Part-time,First-time owner,Small
935,Very Low,Large Apartment,High,Part-time,First-time owner,Small
936,Moderate,Large Apartment,Medium,Part-time,First-time owner,Medium
937,Very Low,Large Apartment,Low,Minimal,Expert,Small
938,Very Low,Rural,Low,Limited,First-time owner,Medium
939,Moderate,Rural,Medium,Full-time,Experienced,Medium
940,Very Low,House,Very High,Minimal,Expert,Large
941,Very Low,Small Apartment,Low,Full-time,Experienced,Small
942,Very High,Large Apartment,High,Full-time,Expert,Medium
943,Very Low,Small Apartment,Very High,Limited,First-time owner,Small
944,High,Small Apartment,Very High,Part-time,First-time owner,Small
945,Low,Large Apartment,Low,Part-time,First-time owner,Small
946,Low,Rural,High,Full-time,First-time owner,Medium
947,Moderate,Rural,Medium,Part-time,First-time owner,Large
948,Very Low,Large Apartment,Very High,Minimal,First-time owner,Small
949,Low,Rural,Very Low,Minimal,Expert,Medium
950,Very Low,Rural,Medium,Minimal,Expert,Medium
951,Very Low,Small Apartment,Very Low,Minimal,Experienced,Small
952,Low,Large Apartment,Low,Limited,Experienced,Medium
953,Very High,House,Low,Full-time,Expert,Large
954,Low,Small Apartment,Very Low,Minimal,Expert,Small
955,High,Rural,Low,Part-time,First-time owner,Medium
956,Very Low,Large Apartment,Very Low,Limited,First-time owner,Small
957,Very High,House,Very High,Full-time,Expert,Medium
958,Very Low,Rural,Very High,Part-time,Experienced,Medium
959,Very Low,Small Apartment,Very High,Minimal,Experienced,Small
960,Very High,Small Apartment,Very High,Part-time,Expert,Small
961,Low,House,Medium,Limited,First-time owner,Large
962,High,Rural,Low,Part-time,Expert,Large
963,Very Low,Large Apartment,Low,Part-time,First-time owner,Small
964,High,Small Apartment,Medium,Full-time,First-time owner,Small
965,Very Low,Rural,High,Minimal,Experienced,Medium
966,Very High,House,High,Full-time,Experienced,Large
967,Low,Large Apartment,Very Low,Minimal,First-time owner,Small
968,Very Low,Small Apartment,Medium,Minimal,Expert,Small
969,Low,Rural,Very High,Limited,Experienced,Medium
970,Low,Small Apartment,Medium,Minimal,Expert,Small
971,High,House,Low,Part-time,Experienced,Medium
972,Very Low,Rural,Low,Full-time,First-time owner,Medium
973,Low,House,High,Full-time,First-time owner,Small
974,Moderate,House,Medium,Full-time,Experienced,Small
975,Low,Small Apartment,High,Full-time,Experienced,Small
976,High,Large Apartment,Medium,Full-time,Experienced,Small
977,Low,House,Very High,Limited,First-time owner,Large
978,Moderate,Small Apartment,Very High,Limited,First-time owner,Small
979,Very Low,Small Apartment,Very Low,Limited,First-time owner,Small
980,Low,Rural,Very Low,Part-time,First-time owner,Large
981,Low,House,Low,Part-time,Experienced,Medium
982,Very Low,Small Apartment,Very Low,Minimal,Expert,Small
983,Moderate,Rural,Very Low,Full-time,Experienced,Large
984,Low,Large Apartment,Medium,Limited,Experienced,Small
985,Very Low,Rural,Very High,Full-time,Experienced,Medium
986,Very Low,Rural,Very High,Part-time,First-time owner,Large
987,Moderate,Small Apartment,Very Low,Part-time,Expert,Small
988,Low,House,Medium,Limited,Experienced,Medium
989,Very High,Rural,Low,Part-time,First-time owner,Large
990,Low,Rural,Medium,Minimal,Expert,Large
991,Very Low,Large Apartment,Very High,Full-time,Expert,Small
992,High,House,Very High,Full-time,First-time owner,Small
993,Low,House,High,Limited,First-time owner,Small
994,Low,House,Very High,Full-time,First-time owner,Large
995,Very Low,House,Very High,Full-time,First-time owner,Large
996,Low,House,Medium,Full-time,Expert,Medium
997,Low,Small Apartment,Very Low,Full-time,First-time owner,Small
998,Low,Large Apartment,Medium,Minimal,Experienced,Small
999,Very Low,House,Medium,Limited,First-time owner,Small
1000,Very Low,House,Very High,Minimal,Expert,Medium
